cache,num_banks,target_banks,bank,occupancy_pct,capacity_per_bank_lines,mean_capacity_normalized_delta_pct,ci95_capacity_normalized_delta_pct,mean_aggregate_raw_delta_misses,ci95_aggregate_raw_delta_misses,mean_aggregate_excess_miss_rate_pct,ci95_aggregate_excess_miss_rate_pct
normal,1,0,0,1,131072,0.0,0.0,0.0,0.0,0.0,0.0
normal,1,0,0,2,131072,0.0,0.0,0.0,0.0,0.0,0.0
normal,1,0,0,5,131072,0.0,0.0,0.0,0.0,0.0,0.0
normal,1,0,0,10,131072,1.52587890625e-05,2.9907226562500003e-05,0.02,0.0392,0.00015259021896696422,0.00029907682917524984
normal,1,0,0,15,131072,5.340576171875e-05,6.465941292929458e-05,0.07,0.08475038571468498,0.0003560528992878942,0.000431080293564013
normal,1,0,0,20,131072,0.00043487548828125,0.00022215915060734835,0.57,0.2911884418840636,0.0021744106202792397,0.00111081270269346
normal,1,0,0,25,131072,0.0017547607421875,0.00047359070714378425,2.3,0.620744811667501,0.00701904296875,0.001894362828575137
normal,1,0,0,30,131072,0.00563812255859375,0.0007750901578212358,7.39,1.01592617165945,0.01879402863609776,0.0025836732831297526
normal,1,0,0,35,131072,0.0147247314453125,0.0014256918720667497,19.3,1.8686828505553308,0.04207084468664849,0.0040734231074775595
normal,1,0,0,40,131072,0.0274200439453125,0.0024003839412834157,35.94,3.1462312395189977,0.06855115587090867,0.00600105142198634
normal,2,0,0,1,65536,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,0,0,2,65536,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,0,0,5,65536,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,0,0,10,65536,-1.52587890625e-05,2.9907226562500003e-05,-0.01,0.0196,-0.00015260186174271328,0.00029909964901571806
normal,2,0,0,15,65536,0.000244140625,0.00018876740108178086,0.16,0.1237106039729559,0.0016276703967446594,0.001258500549063641
normal,2,0,0,20,65536,0.001556396484375,0.0005459956603686705,1.02,0.35782371597921186,0.007782101167315175,0.002730019958642038
normal,2,0,0,25,65536,0.005279541015625,0.0010732141356221913,3.46,0.7033416159213591,0.0211181640625,0.004292856542488765
normal,2,0,0,30,65536,0.0150146484375,0.001749937422433082,9.84,1.1468389891657447,0.05005086469989828,0.005833362101555161
normal,2,0,0,35,65536,0.033660888671875,0.0028077419382290065,22.06,1.8400817566377619,0.09617648341108254,0.008022329671002144
normal,2,0,0,40,65536,0.06634521484375,0.0038329365864850765,43.48,2.511953321318859,0.16586556801709007,0.009582487683370944
normal,2,"0,1",0,1,65536,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,"0,1",1,1,65536,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,"0,1",0,2,65536,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,"0,1",1,2,65536,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,"0,1",0,5,65536,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,"0,1",1,5,65536,0.0,0.0,0.0,0.0,0.0,0.0
normal,2,"0,1",0,10,65536,6.103515625e-05,9.428792811587915e-05,0.04,0.06179253657002255,0.00030518043793392844,0.0004714468342871944
normal,2,"0,1",1,10,65536,0.0,0.0,0.04,0.06179253657002255,0.00030518043793392844,0.0004714468342871944
normal,2,"0,1",0,15,65536,0.0001983642578125,0.00015121839213508943,0.16,0.12983248881352907,0.0008138351983723297,0.0006603890580545731
normal,2,"0,1",1,15,65536,4.57763671875e-05,0.00013070864359172976,0.16,0.12983248881352907,0.0008138351983723297,0.0006603890580545731
normal,2,"0,1",0,20,65536,0.0008697509765625,0.00039934035613623024,1.1,0.33138411902720133,0.004196231021591516,0.0012641493821133796
normal,2,"0,1",1,20,65536,0.0008087158203125,0.0004042870498898207,1.1,0.33138411902720133,0.004196231021591516,0.0012641493821133796
normal,2,"0,1",0,25,65536,0.001983642578125,0.0007610050840852167,3.14,0.770026791085803,0.00958251953125,0.002349935275530405
normal,2,"0,1",1,25,65536,0.0028076171875,0.0008862951072377527,3.14,0.770026791085803,0.00958251953125,0.002349935275530405
normal,2,"0,1",0,30,65536,0.00592041015625,0.0012958264382394598,8.51,1.3156915907689772,0.021642379390147758,0.0033460277988071954
normal,2,"0,1",1,30,65536,0.0070648193359375,0.0015206175209510058,8.51,1.3156915907689772,0.021642379390147758,0.0033460277988071954
normal,2,"0,1",0,35,65536,0.0131683349609375,0.0020508450392233094,18.19,1.995842198980752,0.03965122615803815,0.004350609698050685
normal,2,"0,1",1,35,65536,0.01458740234375,0.002279379478028185,18.19,1.995842198980752,0.03965122615803815,0.004350609698050685
normal,2,"0,1",0,40,65536,0.0281219482421875,0.0034118701703653906,36.51,3.101472181940946,0.06963836118104828,0.0059156789920289665
normal,2,"0,1",1,40,65536,0.027587890625,0.0031503999382874715,36.51,3.101472181940946,0.06963836118104828,0.0059156789920289665
normal,4,0,0,1,32768,0.0,0.0,0.0,0.0,0.0,0.0
normal,4,0,0,2,32768,0.0,0.0,0.0,0.0,0.0,0.0
normal,4,0,0,5,32768,0.0,0.0,0.0,0.0,0.0,0.0
normal,4,0,0,10,32768,0.000274658203125,0.0002701199735795649,0.09,0.08851291294255183,0.002747252747252747,0.002701859369430764
normal,4,0,0,15,32768,0.001617431640625,0.0005604326310784039,0.53,0.1836425645517714,0.010783316378433367,0.0037363695737898557
normal,4,0,0,20,32768,0.0057373046875,0.0012901245730099161,1.88,0.4227480200838893,0.028689150007630095,0.006451213491284745
normal,4,0,0,25,32768,0.017547607421875,0.002361219257950942,5.75,0.7737243264453648,0.0701904296875,0.009444877031803769
normal,4,0,0,30,32768,0.043731689453125,0.003594959264575693,14.33,1.1779962518161633,0.14577822990844352,0.01198368516598335
normal,4,0,0,35,32768,0.089691162109375,0.006416861186021595,29.39,2.1026770734355558,0.25627833972793856,0.018335168062744645
normal,4,0,0,40,32768,0.165252685546875,0.008739923764735858,54.15,2.8638982192286457,0.4131380178530556,0.021850142818559896
normal,4,"0,1,2,3",0,1,32768,0.0,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",1,1,32768,0.0,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",2,1,32768,0.0,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",3,1,32768,0.0,0.0,0.0,0.0,0.0,0.0
