cache,num_banks,target_banks,bank,occupancy_pct,bit0_mean_misses,bit0_ci95,bit1_mean_misses,bit1_ci95,raw_delta_of_means
normal,4,"0,1,2,3",1,25,2.71,0.5047607838262487,3.59,0.6334883625249523,0.8799999999999999
normal,4,"0,1,2,3",1,30,9.07,1.0630952719167353,11.21,1.1957298157707839,2.1400000000000006
normal,4,"0,1,2,3",1,35,26.68,2.045803184151112,32.12,2.1852785897334637,5.439999999999998
normal,4,"0,1,2,3",1,40,65.88,3.462081642975258,74.05,3.623002309876952,8.170000000000002
normal,4,"0,1,2,3",2,1,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",2,2,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",2,5,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",2,10,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",2,15,0.08,0.08207546170531978,0.11,0.10003780295569283,0.03
normal,4,"0,1,2,3",2,20,0.25,0.11612236666725337,0.48,0.16593778072129045,0.22999999999999998
normal,4,"0,1,2,3",2,25,2.56,0.5251257303991804,3.4,0.592274028851954,0.8399999999999999
normal,4,"0,1,2,3",2,30,10.37,1.0181238685529241,12.34,1.237175044734225,1.9700000000000006
normal,4,"0,1,2,3",2,35,27.76,1.9405249832210483,32.86,2.035561582453254,5.099999999999998
normal,4,"0,1,2,3",2,40,65.88,3.2092967620129285,75.2,3.195327700113262,9.320000000000007
normal,4,"0,1,2,3",3,1,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",3,2,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",3,5,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",3,10,0.0,0.0,0.0,0.0,0.0
normal,4,"0,1,2,3",3,15,0.03,0.04364949465730827,0.08,0.08667446118795444,0.05
normal,4,"0,1,2,3",3,20,0.54,0.21109846043967256,0.77,0.24580840366661855,0.22999999999999998
normal,4,"0,1,2,3",3,25,2.66,0.5198527281739503,3.23,0.5105395379380325,0.5699999999999998
normal,4,"0,1,2,3",3,30,9.52,0.9304314159560498,11.62,0.9519935115643416,2.0999999999999996
normal,4,"0,1,2,3",3,35,27.47,1.827307514659564,32.08,1.8354068873195946,4.609999999999999
normal,4,"0,1,2,3",3,40,66.35,2.9669175174843594,74.33,3.0291328921630094,7.980000000000004
