cache,num_banks,target_banks,bank,occupancy_pct,bit0_mean_misses,bit0_ci95,bit1_mean_misses,bit1_ci95,raw_delta_of_means
ceaser,4,"0,1,2,3",1,10,0.0,0.0,0.0,0.0,0.0
ceaser,4,"0,1,2,3",1,15,0.05,0.05826966222103517,0.09,0.09688496980304723,0.039999999999999994
ceaser,4,"0,1,2,3",1,20,0.45,0.19375992643193557,0.63,0.24863369998388546,0.18
ceaser,4,"0,1,2,3",1,25,2.47,0.5525874359261477,2.99,0.6263425325497288,0.52
ceaser,4,"0,1,2,3",1,30,9.4,1.0702781286783696,11.4,1.1257619462372848,2.0
ceaser,4,"0,1,2,3",1,35,25.95,1.6256832968995476,30.96,1.7728691960386211,5.010000000000002
ceaser,4,"0,1,2,3",1,40,62.21,2.5276325199600502,72.89,2.708543961301538,10.68
ceaser,4,"0,1,2,3",2,1,0.0,0.0,0.0,0.0,0.0
ceaser,4,"0,1,2,3",2,2,0.0,0.0,0.0,0.0,0.0
ceaser,4,"0,1,2,3",2,5,0.0,0.0,0.0,0.0,0.0
ceaser,4,"0,1,2,3",2,10,0.0,0.0,0.0,0.0,0.0
ceaser,4,"0,1,2,3",2,15,0.06,0.09974645838121751,0.05,0.08062057285629251,-0.009999999999999995
ceaser,4,"0,1,2,3",2,20,0.36,0.18377985952676304,0.43,0.17893354558990254,0.07
ceaser,4,"0,1,2,3",2,25,2.38,0.5306096451776537,3.09,0.5883925289131466,0.71
ceaser,4,"0,1,2,3",2,30,9.25,1.2299888313527587,11.09,1.2944621247156025,1.8399999999999999
ceaser,4,"0,1,2,3",2,35,28.19,2.081308810835289,32.51,2.3373525553670347,4.319999999999997
ceaser,4,"0,1,2,3",2,40,65.86,3.124349520405258,74.75,3.1761280474403697,8.89
ceaser,4,"0,1,2,3",3,1,0.0,0.0,0.0,0.0,0.0
ceaser,4,"0,1,2,3",3,2,0.0,0.0,0.0,0.0,0.0
ceaser,4,"0,1,2,3",3,5,0.0,0.0,0.0,0.0,0.0
ceaser,4,"0,1,2,3",3,10,0.0,0.0,0.0,0.0,0.0
ceaser,4,"0,1,2,3",3,15,0.08,0.11377621842365773,0.08,0.07200152635868075,0.0
ceaser,4,"0,1,2,3",3,20,0.55,0.21824747328654143,0.75,0.27490156181234887,0.19999999999999996
ceaser,4,"0,1,2,3",3,25,2.38,0.4783023108934983,2.96,0.5415685173548208,0.5800000000000001
ceaser,4,"0,1,2,3",3,30,8.97,1.0369305839638427,11.02,1.2078975112052173,2.049999999999999
ceaser,4,"0,1,2,3",3,35,26.48,1.7973371531296518,32.01,2.0266730857155126,5.529999999999998
ceaser,4,"0,1,2,3",3,40,66.19,3.015091023702621,75.62,3.117107790788432,9.430000000000007
