cache,ratio,attack,num_banks,num_attacks,format,plot
mirage,0.3,region0,2,2,single,results/mirage/plots_bit_diff_misses/mirage_ratio-0.3_attack-region0_banks2_attack2_delta_misses_single.png
mirage,0.5,region0,2,2,single,results/mirage/plots_bit_diff_misses/mirage_ratio-0.5_attack-region0_banks2_attack2_delta_misses_single.png
mirage,0.5,simultaneous,2,2,dual,results/mirage/plots_bit_diff_misses/mirage_ratio-0.5_attack-simultaneous_banks2_attack2_delta_misses_dual.png
mirage,1.0,region0,2,2,single,results/mirage/plots_bit_diff_misses/mirage_ratio-1.0_attack-region0_banks2_attack2_delta_misses_single.png
