[1, 1310, 9, 8, 4, 4]
[1, 1310, 2, 7, 2, 8]
[1, 1310, 8, 2, 3, 3]
[1, 1310, 4, 6, 7, 3]
[1, 1310, 4, 2, 6, 3]
[1, 1310, 4, 6, 8, 3]
[1, 1310, 7, 2, 2, 4]
[1, 1310, 2, 7, 1, 3]
[1, 1310, 8, 6, 2, 4]
[1, 1310, 1, 8, 8, 5]
[1, 1310, 4, 5, 7, 6]
[1, 1310, 2, 3, 3, 5]
[1, 1310, 7, 6, 3, 7]
[1, 1310, 4, 0, 5, 8]
[1, 1310, 4, 5, 2, 1]
[1, 1310, 4, 9, 6, 2]
[1, 1310, 9, 1, 1, 8]
[1, 1310, 5, 3, 2, 3]
[1, 1310, 2, 3, 2, 2]
[1, 1310, 7, 2, 8, 6]
[1, 1310, 7, 5, 12, 3]
[1, 1310, 3, 3, 4, 3]
[1, 1310, 2, 4, 4, 9]
[1, 1310, 2, 7, 9, 4]
[1, 1310, 8, 5, 2, 4]
[1, 1310, 2, 8, 12, 3]
[1, 1310, 2, 4, 2, 4]
[1, 1310, 5, 5, 0, 5]
[1, 1310, 1, 7, 0, 4]
[1, 1310, 1, 2, 5, 5]
[1, 1310, 6, 4, 3, 5]
[1, 1310, 2, 4, 4, 9]
[1, 1310, 4, 6, 5, 4]
[1, 1310, 4, 7, 3, 4]
[1, 1310, 6, 7, 6, 3]
[1, 1310, 3, 5, 1, 3]
[1, 1310, 6, 2, 9, 5]
[1, 1310, 0, 3, 6, 6]
[1, 1310, 3, 9, 5, 1]
[1, 1310, 4, 7, 10, 1]
[1, 1310, 2, 3, 7, 5]
[1, 1310, 4, 2, 2, 5]
[1, 1310, 6, 3, 4, 6]
[1, 1310, 3, 3, 6, 1]
[1, 1310, 3, 7, 6, 5]
[1, 1310, 5, 3, 4, 0]
[1, 1310, 2, 6, 8, 4]
[1, 1310, 2, 8, 3, 9]
[1, 1310, 6, 4, 3, 7]
[1, 1310, 5, 3, 8, 0]
[1, 1310, 4, 9, 7, 9]
[1, 1310, 2, 4, 5, 7]
[1, 1310, 8, 4, 4, 4]
[1, 1310, 4, 1, 3, 2]
[1, 1310, 4, 5, 2, 4]
[1, 1310, 3, 1, 2, 2]
[1, 1310, 3, 3, 6, 5]
[1, 1310, 11, 9, 3, 2]
[1, 1310, 5, 4, 2, 8]
[1, 1310, 6, 1, 2, 8]
[1, 1310, 7, 5, 4, 6]
[1, 1310, 5, 7, 10, 3]
[1, 1310, 6, 5, 5, 8]
[1, 1310, 2, 3, 8, 5]
[1, 1310, 11, 3, 4, 1]
[1, 1310, 2, 2, 8, 1]
[1, 1310, 7, 5, 0, 5]
[1, 1310, 4, 8, 8, 3]
[1, 1310, 10, 8, 4, 7]
[1, 1310, 3, 7, 5, 3]
[1, 1310, 4, 5, 2, 5]
[1, 1310, 4, 2, 4, 3]
[1, 1310, 2, 1, 5, 5]
[1, 1310, 7, 1, 2, 1]
[1, 1310, 4, 8, 7, 4]
[1, 1310, 6, 6, 5, 9]
[1, 1310, 6, 6, 1, 4]
[1, 1310, 4, 7, 4, 13]
